"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","square","E1",86.719831310897,82.7208230943671,2.23793133333333
"Florida","6Hz","square","E2",60.5117564493148,76.717478004812,1.922616
"Florida","6Hz","square","E3",35.2634825458284,69.6677676887961,2.781348
"Florida","6Hz","square","E4",23.6192388587642,58.8318312797812,2.829876
"Florida","6Hz","square","E5",11.4069836172611,43.8485528695707,2.04446766666667
"Florida","6Hz","square","E6",0,28.614,2.47539606666667
"Florida","6Hz","square","E7",-9.06629877496366,11.5485593631021,3.17470666666667
"Florida","6Hz","square","E8",51.097415472918,96.8083637295249,2.51701733333333
"Florida","6Hz","square","E9",26.8737792539972,88.585411736964,2.413478
"Florida","6Hz","square","E10",16.0697667431522,76.4350039760624,2.466802
"Florida","6Hz","square","E11",0,64.048,2.42287533333333
"Florida","6Hz","square","E12",-11.4069836172611,43.8485528695707,2.80254533333333
"Florida","6Hz","square","E13",-18.7176485153145,25.0067456910559,2.29935846666667
"Florida","6Hz","square","E14",14.1187002915317,105.342066422099,3.32629066666667
"Florida","6Hz","square","E15",0,90.726,2.278818
"Florida","6Hz","square","E16",0,79.014,2.466492
"Florida","6Hz","square","E17",0,114.908,3.34808533333333
"Florida","6Hz","square","E18",-16.0697667431522,76.4350039760624,2.80504666666667
"Florida","6Hz","square","E19",-23.6192388587642,58.8318312797812,2.58774266666667
"Florida","6Hz","square","E20",-31.3121246459833,41.9182840077502,2.04092733333333
"Florida","6Hz","square","E21",-14.1187002915317,105.342066422099,3.240498
"Florida","6Hz","square","E22",-26.8737792539972,88.585411736964,2.92522533333333
"Florida","6Hz","square","E23",-35.2634825458284,69.6677676887961,2.95878733333333
"Florida","6Hz","square","E24",-39.5281102525102,53.3724044414846,2.42784173333333
"Florida","6Hz","square","E25",-51.097415472918,96.8083637295249,2.89848666666667
"Florida","6Hz","square","E26",-60.5117564493148,76.717478004812,2.06042933333333
"Florida","6Hz","square","E27",-56.2717346283799,54.0022587112168,2.109322
"Florida","6Hz","square","E28",-50.0298983002845,37.5034658673461,1.437204
"Florida","6Hz","square","E29",-39.6304283909149,22.4510456227002,2.290174
"Florida","6Hz","square","E30",-28.5960902390953,7.43167134886356,3.90847266666667
"Florida","6Hz","square","E31",-14.2590609871468,-4.99065843399723,3.442024
"Florida","6Hz","square","E32",-86.719831310897,82.7208230943671,2.203626
"Florida","6Hz","square","E33",-86.5427774390136,55.8179182444255,2.147894
"Florida","6Hz","square","E34",-73.2735964589411,31.8739532843394,1.266874
"Florida","6Hz","square","E35",-58.7070104036568,13.6367088941921,1.352474
"Florida","6Hz","square","E36",-45.139000940819,2.34746545549408,3.44468466666667
"Florida","6Hz","square","E37",-29.3939238752213,-11.4188613800894,3.73839133333333
"Florida","6Hz","square","E38",-111.066561880691,61.2336542760814,2.83991206666667
"Florida","6Hz","square","E39",-106.979294016482,12.6447944916077,2.40118866666667
"Florida","6Hz","square","E40",-82.0312253490634,0.356499272328901,1.5646064
"Florida","6Hz","square","E41",-62.3658981365752,-7.23363018257962,2.062024
"Florida","6Hz","square","E42",-48.4277069849025,-19.0176228846936,3.16072533333333
"Florida","6Hz","square","E43",-132.385776483018,49.089223063604,4.79967333333333
"Florida","6Hz","square","E44",-127.856243406767,23.8953117140088,3.49735933333333
"Florida","6Hz","square","E45",-102.023724252225,-26.0624191069444,2.705776
"Florida","6Hz","square","E46",-77.0757795587277,-24.2279722926707,2.009292
"Florida","6Hz","square","E47",-61.3490707363697,-27.4299165836118,2.572132
"Florida","6Hz","square","E48",-147.073602828489,55.1905344696692,6.6581
"Florida","6Hz","square","E49",-148.427539841507,9.81951733019121,5.31816133333333
"Florida","6Hz","square","E50",-87.6147402607277,-51.9804690729627,3.36787333333333
"Florida","6Hz","square","E51",-64.3973497966683,-45.8325114211031,4.198348
"Florida","6Hz","square","E52",-49.3286473753904,-38.0293353099208,3.61581933333333
"Florida","6Hz","square","E53",-31.8703858461666,-30.6802729781934,4.876926
"Florida","6Hz","square","E54",-16.3380561246601,-24.5721384105547,4.900706
"Florida","6Hz","square","E55",1.86009153028893e-15,-15.1888,6.99295066666667
"Florida","6Hz","square","E56",-134.514184844694,-53.5568924748948,4.81553733333333
"Florida","6Hz","square","E57",-107.771903337525,-61.2478444600876,3.17965933333333
"Florida","6Hz","square","E58",-72.0824426385969,-68.7392048197634,4.6417
"Florida","6Hz","square","E59",-49.0164711950736,-60.6384229311954,5.1277
"Florida","6Hz","square","E60",-33.5739711579434,-49.4397118183913,5.62667133333333
"Florida","6Hz","square","E61",-17.5616376782163,-41.0535015078989,5.27864466666667
"Florida","6Hz","square","E62",6.24863782796946e-15,-51.024,9.61110666666667
"Florida","6Hz","square","E63",-111.844618176326,-90.215004411638,5.898596
"Florida","6Hz","square","E64",-82.7166311762146,-89.8591836311575,3.935508
"Florida","6Hz","square","E65",-53.2724548220446,-83.4923179534095,5.95074
"Florida","6Hz","square","E66",-32.9982073155436,-70.0930032026051,5.950578
"Florida","6Hz","square","E67",-14.9843695227892,-59.7435310808167,6.495658
"Florida","6Hz","square","E68",-70.8544927411257,-119.808404222733,5.985158
"Florida","6Hz","square","E69",-50.7971288111611,-109.433046236237,4.13453
"Florida","6Hz","square","E70",-29.8089612459443,-93.6860097636664,7.80271333333333
"Florida","6Hz","square","E71",-12.5941162529112,-75.6650426009803,9.73029333333333
"Florida","6Hz","square","E72",8.04078595384169e-15,-65.658,11.7657133333333
"Florida","6Hz","square","E73",-34.2137515878335,-132.964697639208,8.11812
"Florida","6Hz","square","E74",-15.7052501655887,-118.019611578908,7.62783333333333
"Florida","6Hz","square","E75",1.18239648457677e-14,-96.55,15.617214
"Florida","6Hz","square","E76",12.5941162529112,-75.6650426009803,12.4378666666667
"Florida","6Hz","square","E77",14.9843695227892,-59.7435310808167,12.3125733333333
"Florida","6Hz","square","E78",17.5616376782163,-41.0535015078989,6.45448
"Florida","6Hz","square","E79",16.3380561246601,-24.5721384105547,4.73205866666667
"Florida","6Hz","square","E80",14.2590609871468,-4.99065843399723,2.96994
"Florida","6Hz","square","E81",1.66253150865048e-14,-135.756,7.71262666666667
"Florida","6Hz","square","E82",15.7052501655887,-118.019611578908,6.83138666666667
"Florida","6Hz","square","E83",29.8089612459443,-93.6860097636664,9.91644533333333
"Florida","6Hz","square","E84",32.9982073155436,-70.0930032026051,8.3284
"Florida","6Hz","square","E85",33.5739711579434,-49.4397118183913,6.39680533333333
"Florida","6Hz","square","E86",31.8703858461666,-30.6802729781934,5.70065
"Florida","6Hz","square","E87",29.3939238752213,-11.4188613800894,4.20880666666667
"Florida","6Hz","square","E88",34.2137515878335,-132.964697639208,5.471974
"Florida","6Hz","square","E89",50.7971288111611,-109.433046236237,3.80742466666667
"Florida","6Hz","square","E90",53.2724548220446,-83.4923179534095,6.09187266666667
"Florida","6Hz","square","E91",49.0164711950736,-60.6384229311954,8.111634
"Florida","6Hz","square","E92",49.3286473753904,-38.0293353099208,4.65928666666667
"Florida","6Hz","square","E93",48.4277069849025,-19.0176228846936,3.14715466666667
"Florida","6Hz","square","E94",70.8544927411257,-119.808404222733,5.65038133333333
"Florida","6Hz","square","E95",82.7166311762146,-89.8591836311575,3.640692
"Florida","6Hz","square","E96",72.0824426385969,-68.7392048197634,7.12419733333333
"Florida","6Hz","square","E97",64.3973497966683,-45.8325114211031,4.47132
"Florida","6Hz","square","E98",61.3490707363697,-27.4299165836118,3.299104
"Florida","6Hz","square","E99",111.844618176326,-90.215004411638,6.41214066666667
"Florida","6Hz","square","E100",107.771903337525,-61.2478444600876,3.54701533333333
"Florida","6Hz","square","E101",87.6147402607277,-51.9804690729627,3.70338133333333
"Florida","6Hz","square","E102",77.0757795587277,-24.2279722926707,3.695106
"Florida","6Hz","square","E103",62.3658981365752,-7.23363018257962,2.21236266666667
"Florida","6Hz","square","E104",45.139000940819,2.34746545549408,3.89215266666667
"Florida","6Hz","square","E105",28.5960902390953,7.43167134886356,3.963204
"Florida","6Hz","square","E106",9.06629877496366,11.5485593631021,4.111416
"Florida","6Hz","square","E107",134.514184844694,-53.5568924748948,5.55055333333333
"Florida","6Hz","square","E108",102.023724252225,-26.0624191069444,3.24529333333333
"Florida","6Hz","square","E109",82.0312253490634,0.356499272328901,3.34178933333333
"Florida","6Hz","square","E110",58.7070104036568,13.6367088941921,1.70513533333333
"Florida","6Hz","square","E111",39.6304283909149,22.4510456227002,2.24061466666667
"Florida","6Hz","square","E112",18.7176485153145,25.0067456910559,3.49987666666667
"Florida","6Hz","square","E113",148.427539841507,9.81951733019121,6.30609333333333
"Florida","6Hz","square","E114",127.856243406767,23.8953117140088,3.92111333333333
"Florida","6Hz","square","E115",106.979294016482,12.6447944916077,3.1654706
"Florida","6Hz","square","E116",73.2735964589411,31.8739532843394,2.56317
"Florida","6Hz","square","E117",50.0298983002845,37.5034658673461,2.01318133333333
"Florida","6Hz","square","E118",31.3121246459833,41.9182840077502,2.028458
"Florida","6Hz","square","E119",147.073602828489,55.1905344696692,5.86401333333333
"Florida","6Hz","square","E120",132.385776483018,49.089223063604,4.57140333333333
"Florida","6Hz","square","E121",111.066561880691,61.2336542760814,2.60062133333333
"Florida","6Hz","square","E122",86.5427774390136,55.8179182444255,1.95364266666667
"Florida","6Hz","square","E123",56.2717346283799,54.0022587112168,2.24729866666667
"Florida","6Hz","square","E124",39.5281102525102,53.3724044414846,2.406588
"Florida","6Hz","square","E125",107.29091960617,79.3302648808283,3.232334
"Florida","6Hz","square","E126",71.1683422201787,126.406610434864,4.84224666666667
"Florida","6Hz","square","E127",-71.1683422201787,126.406610434864,4.80908133333333
"Florida","6Hz","square","E128",-107.29091960617,79.3302648808283,3.29738666666667
"Florida","6Hz","square","Cz",0,0,5.723866
"Florida","6Hz","sine","E1",86.719831310897,82.7208230943671,1.93089533333333
"Florida","6Hz","sine","E2",60.5117564493148,76.717478004812,2.435678
"Florida","6Hz","sine","E3",35.2634825458284,69.6677676887961,2.48541133333333
"Florida","6Hz","sine","E4",23.6192388587642,58.8318312797812,1.867382
"Florida","6Hz","sine","E5",11.4069836172611,43.8485528695707,1.69315266666667
"Florida","6Hz","sine","E6",0,28.614,2.39795813333333
"Florida","6Hz","sine","E7",-9.06629877496366,11.5485593631021,2.21021466666667
"Florida","6Hz","sine","E8",51.097415472918,96.8083637295249,2.78035266666667
"Florida","6Hz","sine","E9",26.8737792539972,88.585411736964,3.21059666666667
"Florida","6Hz","sine","E10",16.0697667431522,76.4350039760624,2.58792
"Florida","6Hz","sine","E11",0,64.048,2.19582466666667
"Florida","6Hz","sine","E12",-11.4069836172611,43.8485528695707,2.52312066666667
"Florida","6Hz","sine","E13",-18.7176485153145,25.0067456910559,1.67048333333333
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,3.379716
"Florida","6Hz","sine","E15",0,90.726,3.07352066666667
"Florida","6Hz","sine","E16",0,79.014,2.263288
"Florida","6Hz","sine","E17",0,114.908,2.94810066666667
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,2.36281133333333
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,1.88775866666667
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,2.13091
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,3.44536133333333
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,3.81559666666667
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,3.10110266666667
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,2.10797533333333
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,2.96582933333333
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,2.54464066666667
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,1.7722864
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,1.63399133333333
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,1.86776466666667
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,3.15743333333333
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,3.039036
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,2.37014066666667
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,2.49823933333333
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,1.330226
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,1.12390733333333
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,2.69954
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,2.92973866666667
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,2.39092733333333
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,2.229274
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,1.28527533333333
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,1.836498
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,2.76139133333333
"Florida","6Hz","sine","E43",-132.385776483018,49.089223063604,3.59673733333333
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,2.71265266666667
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,2.23197
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,1.56979333333333
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,2.33344733333333
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,4.71297533333333
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,4.42043333333333
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,2.64177466666667
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,3.24550933333333
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,2.608472
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,3.55482133333333
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,3.71979333333333
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,5.204144
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,3.83511266666667
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,2.456344
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,3.84046
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,4.42155866666667
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,4.70221933333333
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,4.21438
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,8.13743333333333
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,4.78531333333333
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,3.44020066666667
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,4.613702
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,5.06983133333333
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,4.86366733333333
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,4.97498666666667
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,3.31420066666667
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,6.07140866666667
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,7.55301333333333
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,9.67268666666667
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,6.6579
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,6.372714
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,13.0356
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,10.1940786666667
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,10.291
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,5.57233466666667
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,3.95570733333333
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,2.58741866666667
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,6.73590666666667
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,5.64318666666667
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,8.34739
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,6.70670866666667
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,5.64880933333333
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,4.97093333333333
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,3.19064266666667
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,5.17326666666667
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,3.262694
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,5.103686
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,6.43404
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,3.65712133333333
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,2.10196533333333
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,4.94472
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,3.10142666666667
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,5.78759266666667
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,3.81635
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,2.66882733333333
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,5.00367533333333
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,3.41069666666667
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,2.981376
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,3.08964
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,1.92905466666667
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,3.01225533333333
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,3.51311
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,3.48051333333333
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,4.49979866666667
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,2.57758533333333
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,2.996596
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,1.80021466666667
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,2.02262466666667
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,2.90588066666667
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,4.82379333333333
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,3.39542666666667
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,2.78379066666667
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,2.09236946666667
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,1.97480866666667
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,1.72385733333333
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,4.14009933333333
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,3.48825533333333
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,1.87572
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,2.14507
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,2.10320333333333
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,2.03503266666667
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,2.38280066666667
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,4.11424333333333
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,4.26191666666667
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,2.88249333333333
"Florida","6Hz","sine","Cz",0,0,4.47181133333333
"Florida","8.57Hz","square","E1",86.719831310897,82.7208230943671,1.92076933333333
"Florida","8.57Hz","square","E2",60.5117564493148,76.717478004812,1.45306933333333
"Florida","8.57Hz","square","E3",35.2634825458284,69.6677676887961,2.08417333333333
"Florida","8.57Hz","square","E4",23.6192388587642,58.8318312797812,1.825276
"Florida","8.57Hz","square","E5",11.4069836172611,43.8485528695707,1.88476613333333
"Florida","8.57Hz","square","E6",0,28.614,2.37344933333333
"Florida","8.57Hz","square","E7",-9.06629877496366,11.5485593631021,2.96901866666667
"Florida","8.57Hz","square","E8",51.097415472918,96.8083637295249,1.65431733333333
"Florida","8.57Hz","square","E9",26.8737792539972,88.585411736964,1.24768533333333
"Florida","8.57Hz","square","E10",16.0697667431522,76.4350039760624,1.81597133333333
"Florida","8.57Hz","square","E11",0,64.048,1.55426333333333
"Florida","8.57Hz","square","E12",-11.4069836172611,43.8485528695707,2.10820866666667
"Florida","8.57Hz","square","E13",-18.7176485153145,25.0067456910559,2.077596
"Florida","8.57Hz","square","E14",14.1187002915317,105.342066422099,2.17882666666667
"Florida","8.57Hz","square","E15",0,90.726,1.53795866666667
"Florida","8.57Hz","square","E16",0,79.014,1.61516266666667
"Florida","8.57Hz","square","E17",0,114.908,2.24277066666667
"Florida","8.57Hz","square","E18",-16.0697667431522,76.4350039760624,1.99339533333333
"Florida","8.57Hz","square","E19",-23.6192388587642,58.8318312797812,1.91931066666667
"Florida","8.57Hz","square","E20",-31.3121246459833,41.9182840077502,1.63326933333333
"Florida","8.57Hz","square","E21",-14.1187002915317,105.342066422099,2.26535533333333
"Florida","8.57Hz","square","E22",-26.8737792539972,88.585411736964,1.82575533333333
"Florida","8.57Hz","square","E23",-35.2634825458284,69.6677676887961,2.48402266666667
"Florida","8.57Hz","square","E24",-39.5281102525102,53.3724044414846,2.335836
"Florida","8.57Hz","square","E25",-51.097415472918,96.8083637295249,1.64080466666667
"Florida","8.57Hz","square","E26",-60.5117564493148,76.717478004812,1.42764866666667
"Florida","8.57Hz","square","E27",-56.2717346283799,54.0022587112168,2.13310133333333
"Florida","8.57Hz","square","E28",-50.0298983002845,37.5034658673461,1.64585266666667
"Florida","8.57Hz","square","E29",-39.6304283909149,22.4510456227002,2.232728
"Florida","8.57Hz","square","E30",-28.5960902390953,7.43167134886356,4.32438866666667
"Florida","8.57Hz","square","E31",-14.2590609871468,-4.99065843399723,3.41005726666667
"Florida","8.57Hz","square","E32",-86.719831310897,82.7208230943671,1.33133066666667
"Florida","8.57Hz","square","E33",-86.5427774390136,55.8179182444255,1.661506
