"site","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","box","E1",86.719831310897,82.7208230943671,0.604547333333333
"Florida","6Hz","box","E2",60.5117564493148,76.717478004812,0.628206666666667
"Florida","6Hz","box","E3",35.2634825458284,69.6677676887961,0.698264666666667
"Florida","6Hz","box","E4",23.6192388587642,58.8318312797812,0.711912666666667
"Florida","6Hz","box","E5",11.4069836172611,43.8485528695707,0.600466
"Florida","6Hz","box","E6",0,28.614,0.498786666666667
"Florida","6Hz","box","E7",-9.06629877496366,11.5485593631021,0.319271333333333
"Florida","6Hz","box","E8",51.097415472918,96.8083637295249,0.5921278
"Florida","6Hz","box","E9",26.8737792539972,88.585411736964,0.664140666666667
"Florida","6Hz","box","E10",16.0697667431522,76.4350039760624,0.710388666666667
"Florida","6Hz","box","E11",0,64.048,0.696234666666667
"Florida","6Hz","box","E12",-11.4069836172611,43.8485528695707,0.553393333333333
"Florida","6Hz","box","E13",-18.7176485153145,25.0067456910559,0.430792
"Florida","6Hz","box","E14",14.1187002915317,105.342066422099,0.5914998
"Florida","6Hz","box","E15",0,90.726,0.6736206
"Florida","6Hz","box","E16",0,79.014,0.708076
"Florida","6Hz","box","E17",0,114.908,0.562589133333333
"Florida","6Hz","box","E18",-16.0697667431522,76.4350039760624,0.723216
"Florida","6Hz","box","E19",-23.6192388587642,58.8318312797812,0.691038666666667
"Florida","6Hz","box","E20",-31.3121246459833,41.9182840077502,0.548274733333333
"Florida","6Hz","box","E21",-14.1187002915317,105.342066422099,0.598189266666667
"Florida","6Hz","box","E22",-26.8737792539972,88.585411736964,0.677412666666667
"Florida","6Hz","box","E23",-35.2634825458284,69.6677676887961,0.690641333333333
"Florida","6Hz","box","E24",-39.5281102525102,53.3724044414846,0.626280666666667
"Florida","6Hz","box","E25",-51.097415472918,96.8083637295249,0.594614
"Florida","6Hz","box","E26",-60.5117564493148,76.717478004812,0.644208
"Florida","6Hz","box","E27",-56.2717346283799,54.0022587112168,0.60881
"Florida","6Hz","box","E28",-50.0298983002845,37.5034658673461,0.510211333333333
"Florida","6Hz","box","E29",-39.6304283909149,22.4510456227002,0.437849466666667
"Florida","6Hz","box","E30",-28.5960902390953,7.43167134886356,0.362522
"Florida","6Hz","box","E31",-14.2590609871468,-4.99065843399723,0.3767938
"Florida","6Hz","box","E32",-86.719831310897,82.7208230943671,0.6025628
"Florida","6Hz","box","E33",-86.5427774390136,55.8179182444255,0.552005533333333
"Florida","6Hz","box","E34",-73.2735964589411,31.8739532843394,0.488836666666667
"Florida","6Hz","box","E35",-58.7070104036568,13.6367088941921,0.386058666666667
"Florida","6Hz","box","E36",-45.139000940819,2.34746545549408,0.336990133333333
"Florida","6Hz","box","E37",-29.3939238752213,-11.4188613800894,0.265544666666667
"Florida","6Hz","box","E38",-111.066561880691,61.2336542760814,0.6207274
"Florida","6Hz","box","E39",-106.979294016482,12.6447944916077,0.506902333333333
"Florida","6Hz","box","E40",-82.0312253490634,0.356499272328901,0.349591733333333
"Florida","6Hz","box","E41",-62.3658981365752,-7.23363018257962,0.277648066666667
"Florida","6Hz","box","E42",-48.4277069849025,-19.0176228846936,0.213562733333333
"Florida","6Hz","box","E43",-132.385776483018,49.089223063604,0.60157
"Florida","6Hz","box","E44",-127.856243406767,23.8953117140088,0.591984533333333
"Florida","6Hz","box","E45",-102.023724252225,-26.0624191069444,0.37871
"Florida","6Hz","box","E46",-77.0757795587277,-24.2279722926707,0.247080533333333
"Florida","6Hz","box","E47",-61.3490707363697,-27.4299165836118,0.1962254
"Florida","6Hz","box","E48",-147.073602828489,55.1905344696692,0.516121333333333
"Florida","6Hz","box","E49",-148.427539841507,9.81951733019121,0.501154133333333
"Florida","6Hz","box","E50",-87.6147402607277,-51.9804690729627,0.36929
"Florida","6Hz","box","E51",-64.3973497966683,-45.8325114211031,0.225123533333333
"Florida","6Hz","box","E52",-49.3286473753904,-38.0293353099208,0.340558466666667
"Florida","6Hz","box","E53",-31.8703858461666,-30.6802729781934,0.416882733333333
"Florida","6Hz","box","E54",-16.3380561246601,-24.5721384105547,0.524714
"Florida","6Hz","box","E55",1.86009153028893e-15,-15.1888,0.573346666666667
"Florida","6Hz","box","E56",-134.514184844694,-53.5568924748948,0.438994
"Florida","6Hz","box","E57",-107.771903337525,-61.2478444600876,0.436323333333333
"Florida","6Hz","box","E58",-72.0824426385969,-68.7392048197634,0.420855133333333
"Florida","6Hz","box","E59",-49.0164711950736,-60.6384229311954,0.567667333333333
"Florida","6Hz","box","E60",-33.5739711579434,-49.4397118183913,0.596169333333333
"Florida","6Hz","box","E61",-17.5616376782163,-41.0535015078989,0.7168824
"Florida","6Hz","box","E62",6.24863782796946e-15,-51.024,1.140602
"Florida","6Hz","box","E63",-111.844618176326,-90.215004411638,0.472330533333333
"Florida","6Hz","box","E64",-82.7166311762146,-89.8591836311575,0.555370333333333
"Florida","6Hz","box","E65",-53.2724548220446,-83.4923179534095,0.791749333333333
"Florida","6Hz","box","E66",-32.9982073155436,-70.0930032026051,0.969907333333333
"Florida","6Hz","box","E67",-14.9843695227892,-59.7435310808167,1.02474266666667
"Florida","6Hz","box","E68",-70.8544927411257,-119.808404222733,0.793044666666667
"Florida","6Hz","box","E69",-50.7971288111611,-109.433046236237,0.941767333333333
"Florida","6Hz","box","E70",-29.8089612459443,-93.6860097636664,1.30747666666667
"Florida","6Hz","box","E71",-12.5941162529112,-75.6650426009803,1.41002113333333
"Florida","6Hz","box","E72",8.04078595384169e-15,-65.658,1.37135666666667
"Florida","6Hz","box","E73",-34.2137515878335,-132.964697639208,1.11588
"Florida","6Hz","box","E74",-15.7052501655887,-118.019611578908,1.36692466666667
"Florida","6Hz","box","E75",1.18239648457677e-14,-96.55,1.71014866666667
"Florida","6Hz","box","E76",12.5941162529112,-75.6650426009803,1.510646
"Florida","6Hz","box","E77",14.9843695227892,-59.7435310808167,1.225574
"Florida","6Hz","box","E78",17.5616376782163,-41.0535015078989,0.899562
"Florida","6Hz","box","E79",16.3380561246601,-24.5721384105547,0.589990666666667
"Florida","6Hz","box","E80",14.2590609871468,-4.99065843399723,0.415209466666667
"Florida","6Hz","box","E81",1.66253150865048e-14,-135.756,1.21355733333333
"Florida","6Hz","box","E82",15.7052501655887,-118.019611578908,1.24970433333333
"Florida","6Hz","box","E83",29.8089612459443,-93.6860097636664,1.3780536
"Florida","6Hz","box","E84",32.9982073155436,-70.0930032026051,1.024556
"Florida","6Hz","box","E85",33.5739711579434,-49.4397118183913,0.747821333333333
"Florida","6Hz","box","E86",31.8703858461666,-30.6802729781934,0.66486
"Florida","6Hz","box","E87",29.3939238752213,-11.4188613800894,0.407444
"Florida","6Hz","box","E88",34.2137515878335,-132.964697639208,0.976412933333333
"Florida","6Hz","box","E89",50.7971288111611,-109.433046236237,0.9153862
"Florida","6Hz","box","E90",53.2724548220446,-83.4923179534095,0.767995733333333
"Florida","6Hz","box","E91",49.0164711950736,-60.6384229311954,0.594101333333333
"Florida","6Hz","box","E92",49.3286473753904,-38.0293353099208,0.500399333333333
"Florida","6Hz","box","E93",48.4277069849025,-19.0176228846936,0.407869733333333
"Florida","6Hz","box","E94",70.8544927411257,-119.808404222733,0.7522068
"Florida","6Hz","box","E95",82.7166311762146,-89.8591836311575,0.5524344
"Florida","6Hz","box","E96",72.0824426385969,-68.7392048197634,0.42467
"Florida","6Hz","box","E97",64.3973497966683,-45.8325114211031,0.379422333333333
"Florida","6Hz","box","E98",61.3490707363697,-27.4299165836118,0.369826733333333
"Florida","6Hz","box","E99",111.844618176326,-90.215004411638,0.506
"Florida","6Hz","box","E100",107.771903337525,-61.2478444600876,0.4089826
"Florida","6Hz","box","E101",87.6147402607277,-51.9804690729627,0.340717
"Florida","6Hz","box","E102",77.0757795587277,-24.2279722926707,0.425992
"Florida","6Hz","box","E103",62.3658981365752,-7.23363018257962,0.393938
"Florida","6Hz","box","E104",45.139000940819,2.34746545549408,0.452182666666667
"Florida","6Hz","box","E105",28.5960902390953,7.43167134886356,0.470246
"Florida","6Hz","box","E106",9.06629877496366,11.5485593631021,0.4541194
"Florida","6Hz","box","E107",134.514184844694,-53.5568924748948,0.430907533333333
"Florida","6Hz","box","E108",102.023724252225,-26.0624191069444,0.3316608
"Florida","6Hz","box","E109",82.0312253490634,0.356499272328901,0.449724
"Florida","6Hz","box","E110",58.7070104036568,13.6367088941921,0.500078666666667
"Florida","6Hz","box","E111",39.6304283909149,22.4510456227002,0.500643333333333
"Florida","6Hz","box","E112",18.7176485153145,25.0067456910559,0.499942666666667
"Florida","6Hz","box","E113",148.427539841507,9.81951733019121,0.463995933333333
"Florida","6Hz","box","E114",127.856243406767,23.8953117140088,0.50958
"Florida","6Hz","box","E115",106.979294016482,12.6447944916077,0.495404866666667
"Florida","6Hz","box","E116",73.2735964589411,31.8739532843394,0.5655144
"Florida","6Hz","box","E117",50.0298983002845,37.5034658673461,0.559285333333333
"Florida","6Hz","box","E118",31.3121246459833,41.9182840077502,0.620411333333333
"Florida","6Hz","box","E119",147.073602828489,55.1905344696692,0.452924666666667
"Florida","6Hz","box","E120",132.385776483018,49.089223063604,0.528778
"Florida","6Hz","box","E121",111.066561880691,61.2336542760814,0.575339333333333
"Florida","6Hz","box","E122",86.5427774390136,55.8179182444255,0.577218666666667
"Florida","6Hz","box","E123",56.2717346283799,54.0022587112168,0.624996
"Florida","6Hz","box","E124",39.5281102525102,53.3724044414846,0.649132
"Florida","6Hz","box","E125",107.29091960617,79.3302648808283,0.571788666666667
"Florida","6Hz","box","E126",71.1683422201787,126.406610434864,0.5680988
"Florida","6Hz","box","E127",-71.1683422201787,126.406610434864,0.558551333333333
"Florida","6Hz","box","E128",-107.29091960617,79.3302648808283,0.597768333333333
"Florida","6Hz","box","Cz",0,0,0.410930666666667
"Florida","6Hz","sine","E1",86.719831310897,82.7208230943671,0.548136
"Florida","6Hz","sine","E2",60.5117564493148,76.717478004812,0.61084
"Florida","6Hz","sine","E3",35.2634825458284,69.6677676887961,0.621572666666667
"Florida","6Hz","sine","E4",23.6192388587642,58.8318312797812,0.556964666666667
"Florida","6Hz","sine","E5",11.4069836172611,43.8485528695707,0.439278666666667
"Florida","6Hz","sine","E6",0,28.614,0.366144066666667
"Florida","6Hz","sine","E7",-9.06629877496366,11.5485593631021,0.25039
"Florida","6Hz","sine","E8",51.097415472918,96.8083637295249,0.594648533333333
"Florida","6Hz","sine","E9",26.8737792539972,88.585411736964,0.658092333333333
"Florida","6Hz","sine","E10",16.0697667431522,76.4350039760624,0.676520066666667
"Florida","6Hz","sine","E11",0,64.048,0.575407666666667
"Florida","6Hz","sine","E12",-11.4069836172611,43.8485528695707,0.417572
"Florida","6Hz","sine","E13",-18.7176485153145,25.0067456910559,0.344371333333333
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,0.5985634
"Florida","6Hz","sine","E15",0,90.726,0.6688578
"Florida","6Hz","sine","E16",0,79.014,0.6486027
"Florida","6Hz","sine","E17",0,114.908,0.546324466666667
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,0.6737646
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,0.5902572
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,0.451247333333333
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,0.616520666666667
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,0.671103333333333
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,0.664249333333333
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,0.546381
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,0.581431333333333
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,0.619696666666667
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,0.533192533333333
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,0.454270733333333
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,0.356574466666667
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,0.30728
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,0.30128
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,0.537453
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,0.485790733333333
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,0.3938926
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,0.326004933333333
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,0.2752906
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,0.2243662
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,0.4797718
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,0.389520266666667
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,0.268859933333333
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,0.2310902
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,0.21820024
"Florida","6Hz","sine","E43",-132.385776483018,49.089223063604,0.444517133333333
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,0.431050333333333
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,0.269445533333333
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,0.1928824
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,0.177022866666667
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,0.3597846
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,0.3731
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,0.261474733333333
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,0.202760666666667
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,0.3126688
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,0.3540856
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,0.446668266666667
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,0.430383333333333
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,0.301419333333333
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,0.2873538
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,0.330879066666667
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,0.458016133333333
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,0.511067866666667
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,0.624745266666667
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,0.939149733333333
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,0.352614533333333
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,0.420989866666667
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,0.6397008
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,0.802742
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,0.827502533333333
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,0.623076466666667
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,0.771520666666667
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,1.0492124
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,1.1615234
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,1.12052286666667
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,0.946972
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,1.16250466666667
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,1.441268
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,1.2233104
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,1.00459653333333
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,0.721263333333333
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,0.454426666666667
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,0.294528533333333
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,1.025562
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,1.075232
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,1.16360333333333
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,0.835194133333333
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,0.593084266666667
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,0.512965333333333
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,0.288269266666667
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,0.842709333333333
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,0.7927622
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,0.6515282
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,0.458271666666667
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,0.365138586666667
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,0.2674472
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,0.644537333333333
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,0.453877333333333
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,0.334121466666667
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,0.263418533333333
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,0.233762733333333
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,0.438977333333333
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,0.347281333333333
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,0.269451266666667
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,0.277967733333333
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,0.270545333333333
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,0.315419333333333
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,0.365965333333333
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,0.357478
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,0.362242
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,0.269885666666667
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,0.343962133333333
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,0.360235133333333
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,0.369188
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,0.391290666666667
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,0.389643
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,0.452424533333333
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,0.415026666666667
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,0.4592816
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,0.434962666666667
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,0.454186666666667
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,0.3540186
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,0.4353748
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,0.490669013333333
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,0.504545333333333
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,0.511676666666667
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,0.509023933333333
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,0.497177666666667
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,0.473219866666667
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,0.4392588
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,0.4669098
"Florida","6Hz","sine","Cz",0,0,0.291595266666667
"Florida","8.57Hz","box","E1",86.719831310897,82.7208230943671,0.528547333333333
"Florida","8.57Hz","box","E2",60.5117564493148,76.717478004812,0.554288066666667
"Florida","8.57Hz","box","E3",35.2634825458284,69.6677676887961,0.6262966
"Florida","8.57Hz","box","E4",23.6192388587642,58.8318312797812,0.623521733333333
"Florida","8.57Hz","box","E5",11.4069836172611,43.8485528695707,0.577168
"Florida","8.57Hz","box","E6",0,28.614,0.484156
"Florida","8.57Hz","box","E7",-9.06629877496366,11.5485593631021,0.3664566
"Florida","8.57Hz","box","E8",51.097415472918,96.8083637295249,0.494567333333333
"Florida","8.57Hz","box","E9",26.8737792539972,88.585411736964,0.570616666666667
"Florida","8.57Hz","box","E10",16.0697667431522,76.4350039760624,0.621079733333333
"Florida","8.57Hz","box","E11",0,64.048,0.618398933333333
"Florida","8.57Hz","box","E12",-11.4069836172611,43.8485528695707,0.514506
"Florida","8.57Hz","box","E13",-18.7176485153145,25.0067456910559,0.447598666666667
"Florida","8.57Hz","box","E14",14.1187002915317,105.342066422099,0.473228333333333
"Florida","8.57Hz","box","E15",0,90.726,0.556964666666667
"Florida","8.57Hz","box","E16",0,79.014,0.617224666666667
"Florida","8.57Hz","box","E17",0,114.908,0.415842066666667
"Florida","8.57Hz","box","E18",-16.0697667431522,76.4350039760624,0.609276
"Florida","8.57Hz","box","E19",-23.6192388587642,58.8318312797812,0.616537333333333
"Florida","8.57Hz","box","E20",-31.3121246459833,41.9182840077502,0.513854066666667
"Florida","8.57Hz","box","E21",-14.1187002915317,105.342066422099,0.466016666666667
"Florida","8.57Hz","box","E22",-26.8737792539972,88.585411736964,0.542172
"Florida","8.57Hz","box","E23",-35.2634825458284,69.6677676887961,0.597512
"Florida","8.57Hz","box","E24",-39.5281102525102,53.3724044414846,0.566757666666667
"Florida","8.57Hz","box","E25",-51.097415472918,96.8083637295249,0.427051466666667
"Florida","8.57Hz","box","E26",-60.5117564493148,76.717478004812,0.493924066666667
"Florida","8.57Hz","box","E27",-56.2717346283799,54.0022587112168,0.537144533333333
"Florida","8.57Hz","box","E28",-50.0298983002845,37.5034658673461,0.486730266666667
"Florida","8.57Hz","box","E29",-39.6304283909149,22.4510456227002,0.425724666666667
"Florida","8.57Hz","box","E30",-28.5960902390953,7.43167134886356,0.379816533333333
"Florida","8.57Hz","box","E31",-14.2590609871468,-4.99065843399723,0.3682502
"Florida","8.57Hz","box","E32",-86.719831310897,82.7208230943671,0.437390666666667
"Florida","8.57Hz","box","E33",-86.5427774390136,55.8179182444255,0.430422666666667
"Florida","8.57Hz","box","E34",-73.2735964589411,31.8739532843394,0.415396933333333
"Florida","8.57Hz","box","E35",-58.7070104036568,13.6367088941921,0.371270533333333
