"part","lab","freq","mod","ssvepSNR","ssvepSNR_Z"
"FL_01","Florida","6Hz","square",7.75048883333333,-0.658703979278939
"FL_02","Florida","6Hz","square",6.59405617021277,-0.971598861932573
"FL_03","Florida","6Hz","square",7.73706615853659,-0.662335739596132
"FL_04","Florida","6Hz","square",5.02843725,-1.39520687988529
"FL_05","Florida","6Hz","square",12.5080154117647,0.628535449312529
"FL_06","Florida","6Hz","square",17.4345526595745,1.96150393351512
"FL_07","Florida","6Hz","square",8.36453417647059,-0.492562316463496
"FL_08","Florida","6Hz","square",5.07869073333333,-1.38160984283162
"FL_09","Florida","6Hz","square",4.62245708333333,-1.5050525463559
"FL_10","Florida","6Hz","square",9.49474626373626,-0.186761910009703
"FL_11","Florida","6Hz","square",11.3423783505155,0.313150141436386
"FL_12","Florida","6Hz","square",8.10922861702128,-0.56164009817294
"FL_13","Florida","6Hz","square",7.71551314516129,-0.668167317867794
"FL_14","Florida","6Hz","square",8.21155924050633,-0.533952598979664
"FL_15","Florida","6Hz","square",8.4335453030303,-0.473890041773132
"LE_01","Leipzig","6Hz","square",8.87230514705882,-1.2428947973549
"LE_02","Leipzig","6Hz","square",13.873728313253,-0.4733332279592
"LE_03","Leipzig","6Hz","square",20.9491755319149,0.615355348239247
"LE_04","Leipzig","6Hz","square",15.8225362903226,-0.173473033080763
"LE_05","Leipzig","6Hz","square",11.7213988372093,-0.804508974222082
"LE_06","Leipzig","6Hz","square",22.9436267045455,0.922238593965605
"LE_07","Leipzig","6Hz","square",17.727288,0.119608289234923
"LE_08","Leipzig","6Hz","square",11.5496457954545,-0.830936360181877
"LE_09","Leipzig","6Hz","square",8.95436094936709,-1.2302689926781
"LE_10","Leipzig","6Hz","square",19.4823304054054,0.389654062803716
"LE_11","Leipzig","6Hz","square",11.8481584337349,-0.785004662989712
"LE_12","Leipzig","6Hz","square",11.3048903846154,-0.868596512467452
"LE_13","Leipzig","6Hz","square",16.2952983333333,-0.100729838257894
"LE_14","Leipzig","6Hz","square",11.2579609782609,-0.87581747066373
"LE_15","Leipzig","6Hz","square",16.1596431818182,-0.121602895351372
"FL_01","Florida","6Hz","sine",7.3051978358209,-0.779185939756778
"FL_02","Florida","6Hz","sine",7.45246102272727,-0.739341079735328
"FL_03","Florida","6Hz","sine",6.78504230769231,-0.919923924877547
"FL_04","Florida","6Hz","sine",4.96349052941176,-1.41277945212858
"FL_05","Florida","6Hz","sine",10.060573373494,-0.0336666086091532
"FL_06","Florida","6Hz","sine",9.05633430232558,-0.305382616250723
"FL_07","Florida","6Hz","sine",9.89386860215054,-0.0787717595883311
"FL_08","Florida","6Hz","sine",5.05596869230769,-1.38775772379962
"FL_09","Florida","6Hz","sine",5.36069777777778,-1.30530746579495
"FL_10","Florida","6Hz","sine",6.40903666666667,-1.02165941253521
"FL_11","Florida","6Hz","sine",7.0905488172043,-0.837263319991372
"FL_12","Florida","6Hz","sine",6.85990369791667,-0.899668749927428
"FL_13","Florida","6Hz","sine",6.55730618181818,-0.981542271240312
"FL_14","Florida","6Hz","sine",8.49476450617284,-0.457326020369807
"FL_15","Florida","6Hz","sine",8.25707986486487,-0.521636127064602
"LE_01","Leipzig","6Hz","sine",8.68490333333333,-1.27173003666298
"LE_02","Leipzig","6Hz","sine",9.08210866666667,-1.21061264076686
"LE_03","Leipzig","6Hz","sine",23.2353022222222,0.967118273544576
"LE_04","Leipzig","6Hz","sine",15.6210907142857,-0.204469165279814
"LE_05","Leipzig","6Hz","sine",11.8101715116279,-0.790849654389519
"LE_06","Leipzig","6Hz","sine",24.0550971264368,1.09325890034341
"LE_07","Leipzig","6Hz","sine",14.59867421875,-0.361786876006387
"LE_08","Leipzig","6Hz","sine",13.386685,-0.548273860666326
"LE_09","Leipzig","6Hz","sine",10.4840756944444,-0.994894052219854
"LE_10","Leipzig","6Hz","sine",18.8849463235294,0.297735459577361
"LE_11","Leipzig","6Hz","sine",12.8326680487805,-0.633519627777998
"LE_12","Leipzig","6Hz","sine",11.1068232051282,-0.899072815796914
"LE_13","Leipzig","6Hz","sine",16.7151322580645,-0.03613061454383
"LE_14","Leipzig","6Hz","sine",12.6892944444444,-0.655580311766616
"LE_15","Leipzig","6Hz","sine",11.3853047647059,-0.856223270994362
"FL_01","Florida","8.57Hz","square",9.72657096774194,-0.124037320961577
"FL_02","Florida","8.57Hz","square",10.8936055681818,0.191726117760404
"FL_03","Florida","8.57Hz","square",9.07345113924051,-0.300751330012712
"FL_04","Florida","8.57Hz","square",7.34847727272727,-0.767475863792999
"FL_05","Florida","8.57Hz","square",17.7709486842105,2.05252228504596
"FL_06","Florida","8.57Hz","square",15.7366005952381,1.5020906629764
"FL_07","Florida","8.57Hz","square",9.19678912371134,-0.26737988919436
"FL_08","Florida","8.57Hz","square",8.28583701388889,-0.513855332681776
"FL_09","Florida","8.57Hz","square",6.42167729411765,-1.01823925002245
"FL_10","Florida","8.57Hz","square",8.46549063218391,-0.465246624533535
"FL_11","Florida","8.57Hz","square",10.5075786082474,0.0872791714039439
"FL_12","Florida","8.57Hz","square",8.6351547979798,-0.419340753020032
"FL_13","Florida","8.57Hz","square",9.7676985483871,-0.112909470693952
"FL_14","Florida","8.57Hz","square",9.75581895833333,-0.116123720044031
"FL_15","Florida","8.57Hz","square",14.1346636585366,1.0686561139425
"LE_01","Leipzig","8.57Hz","square",11.996755,-0.762140329590631
"LE_02","Leipzig","8.57Hz","square",14.5323611805556,-0.371990364903158
"LE_03","Leipzig","8.57Hz","square",33.0866666666667,2.48293311876684
"LE_04","Leipzig","8.57Hz","square",18.4334721428571,0.228267796579317
"LE_05","Leipzig","8.57Hz","square",9.93635392156863,-1.07917118957059
"LE_06","Leipzig","8.57Hz","square",23.8141926136364,1.0561912800312
"LE_07","Leipzig","8.57Hz","square",15.2239659722222,-0.265574160716703
"LE_08","Leipzig","8.57Hz","square",13.77985,-0.487778144871556
"LE_09","Leipzig","8.57Hz","square",11.7818700675676,-0.795204355638246
"LE_10","Leipzig","8.57Hz","square",40.05095625,3.55451803437684
"LE_11","Leipzig","8.57Hz","square",17.323721875,0.0575121677531113
"LE_12","Leipzig","8.57Hz","square",12.3480891891892,-0.708081058653047
"LE_13","Leipzig","8.57Hz","square",24.7782875,1.20453513119965
"LE_14","Leipzig","8.57Hz","square",19.2877045454545,0.35970727021053
"LE_15","Leipzig","8.57Hz","square",15.7084481111111,-0.191027612112772
"FL_01","Florida","8.57Hz","sine",6.23321813432836,-1.06923046513405
"FL_02","Florida","8.57Hz","sine",9.5965875,-0.159206823850121
"FL_03","Florida","8.57Hz","sine",9.2214905625,-0.260696444461575
"FL_04","Florida","8.57Hz","sine",8.5867604109589,-0.432434776157649
"FL_05","Florida","8.57Hz","sine",12.0094709615385,0.493644752927124
"FL_06","Florida","8.57Hz","sine",12.5004467032967,0.626487591081385
"FL_07","Florida","8.57Hz","sine",8.52138241573034,-0.45012403796903
"FL_08","Florida","8.57Hz","sine",8.51668705479452,-0.451394457298993
"FL_09","Florida","8.57Hz","sine",5.69049890804598,-1.21607348854301
"FL_10","Florida","8.57Hz","sine",8.02110289156627,-0.585484191654877
"FL_11","Florida","8.57Hz","sine",8.44698845360825,-0.470252741343351
"FL_12","Florida","8.57Hz","sine",7.09357984375,-0.836443218029899
"FL_13","Florida","8.57Hz","sine",8.42275284615385,-0.476810146536336
"FL_14","Florida","8.57Hz","sine",8.59254614285714,-0.430869336196381
"FL_15","Florida","8.57Hz","sine",10.6637210135135,0.129526473067971
"LE_01","Leipzig","8.57Hz","sine",11.7247392028986,-0.803994997104618
"LE_02","Leipzig","8.57Hz","sine",11.2051866574074,-0.88393777719054
"LE_03","Leipzig","8.57Hz","sine",15.5326235294118,-0.218081479888942
"LE_04","Leipzig","8.57Hz","sine",17.4534986986301,0.0774807352478699
"LE_05","Leipzig","8.57Hz","sine",7.52582012195122,-1.45007645238732
"LE_06","Leipzig","8.57Hz","sine",10.212481547619,-1.03668384103084
"LE_07","Leipzig","8.57Hz","sine",8.2999681884058,-1.33095943685617
"LE_08","Leipzig","8.57Hz","sine",10.3572168674699,-1.01441363189432
"LE_09","Leipzig","8.57Hz","sine",14.2513686567164,-0.415226268054831
"LE_10","Leipzig","8.57Hz","sine",16.0151532258065,-0.143835350717654
"LE_11","Leipzig","8.57Hz","sine",13.0872158823529,-0.594352729920931
"LE_12","Leipzig","8.57Hz","sine",16.6922130921053,-0.0396571526388385
"LE_13","Leipzig","8.57Hz","sine",14.9757577319588,-0.303765594747957
"LE_14","Leipzig","8.57Hz","sine",10.7030434210526,-0.961201812683995
"LE_15","Leipzig","8.57Hz","sine",8.12997223684211,-1.35711646195265
"FL_01","Florida","15Hz","square",9.08334362068966,-0.298074730742476
"FL_02","Florida","15Hz","square",11.7478981481481,0.422871246296579
"FL_03","Florida","15Hz","square",13.337804494382,0.853050689942447
"FL_04","Florida","15Hz","square",9.47592316455696,-0.191854858001152
"FL_05","Florida","15Hz","square",16.3323915189873,1.66329324494912
"FL_06","Florida","15Hz","square",19.9538890804598,2.64315838596788
"FL_07","Florida","15Hz","square",11.9639794021739,0.481336145099764
"FL_08","Florida","15Hz","square",9.98634162162162,-0.0537514229109196
"FL_09","Florida","15Hz","square",9.56740109756098,-0.167103760920021
"FL_10","Florida","15Hz","square",11.7355047727273,0.419517982529769
"FL_11","Florida","15Hz","square",15.2547984736842,1.37172992249102
"FL_12","Florida","15Hz","square",11.2294134375,0.282585332667865
"FL_13","Florida","15Hz","square",13.7075493333333,0.953092198354421
"FL_14","Florida","15Hz","square",10.5110976190476,0.0882313067997163
"FL_15","Florida","15Hz","square",16.1274339506173,1.60783807116401
"LE_01","Leipzig","15Hz","square",16.6577082089552,-0.0449663678654647
"LE_02","Leipzig","15Hz","square",24.2474408571429,1.12285454509231
"LE_03","Leipzig","15Hz","square",24.3300759259259,1.13556948064299
"LE_04","Leipzig","15Hz","square",16.5969705128205,-0.0543119871433623
"LE_05","Leipzig","15Hz","square",12.3317999180328,-0.710587464661674
"LE_06","Leipzig","15Hz","square",43.409043956044,4.07122201229641
"LE_07","Leipzig","15Hz","square",26.7402526315789,1.50641979794071
"LE_08","Leipzig","15Hz","square",20.5601725268817,0.555500032441051
"LE_09","Leipzig","15Hz","square",19.5781566666667,0.404398707588823
"LE_10","Leipzig","15Hz","square",25.3468735714286,1.29202262724332
"LE_11","Leipzig","15Hz","square",18.4448597402597,0.230019989312782
"LE_12","Leipzig","15Hz","square",14.1881620253165,-0.424951778742499
"LE_13","Leipzig","15Hz","square",20.3348630208333,0.520831992702612
"LE_14","Leipzig","15Hz","square",24.3366604651163,1.1365826339285
"LE_15","Leipzig","15Hz","square",22.7523779220779,0.892811427279223
"FL_01","Florida","15Hz","sine",10.2361657758621,0.0138432602193326
"FL_02","Florida","15Hz","sine",10.78242,0.161642744626381
"FL_03","Florida","15Hz","sine",13.3253198214286,0.849672723889329
"FL_04","Florida","15Hz","sine",8.65555232394366,-0.413821813875174
"FL_05","Florida","15Hz","sine",19.3489743055556,2.4794871722905
"FL_06","Florida","15Hz","sine",23.6565945054945,3.64499586117453
"FL_07","Florida","15Hz","sine",12.2024335057471,0.545854444465751
"FL_08","Florida","15Hz","sine",9.6394661971831,-0.147605175651044
"FL_09","Florida","15Hz","sine",9.73669941860465,-0.121296875672181
"FL_10","Florida","15Hz","sine",11.5173663736264,0.360496483945713
"FL_11","Florida","15Hz","sine",18.7437092783505,2.31572119118216
"FL_12","Florida","15Hz","sine",13.2337593298969,0.824899289026116
"FL_13","Florida","15Hz","sine",11.9608566666667,0.480491229532037
"FL_14","Florida","15Hz","sine",10.256426402439,0.0193251586276485
"FL_15","Florida","15Hz","sine",17.4745506329114,1.97232614701078
"LE_01","Leipzig","15Hz","sine",18.8331793478261,0.289770151755701
"LE_02","Leipzig","15Hz","sine",18.8137035714286,0.286773442908712
"LE_03","Leipzig","15Hz","sine",24.457706,1.1552077309655
"LE_04","Leipzig","15Hz","sine",18.3349508196721,0.213108466610665
"LE_05","Leipzig","15Hz","sine",12.612403,-0.667411484353597
"LE_06","Leipzig","15Hz","sine",23.0031184782609,0.931392505007571
"LE_07","Leipzig","15Hz","sine",20.9410712962963,0.614108361516837
"LE_08","Leipzig","15Hz","sine",14.8816254444444,-0.318249590303456
"LE_09","Leipzig","15Hz","sine",15.1830277027027,-0.271873271568337
"LE_10","Leipzig","15Hz","sine",22.6852992647059,0.882490133694408
"LE_11","Leipzig","15Hz","sine",20.1950266304348,0.499315574579643
"LE_12","Leipzig","15Hz","sine",15.42544609375,-0.234572713054169
"LE_13","Leipzig","15Hz","sine",18.7482796875,0.276706766860912
"LE_14","Leipzig","15Hz","sine",29.5479709302326,1.93843925091115
"LE_15","Leipzig","15Hz","sine",20.3934355421687,0.529844459743386
