part,lab,gender,freq,mod,ssvepZ,ssvepSNR_Z
FL_01,Florida,Female,6Hz,square,0.215436494,-0.325189233
FL_02,Florida,Female,6Hz,square,-0.624615434,-0.649831683
FL_03,Florida,Male,6Hz,square,0.712119643,-0.201485827
FL_04,Florida,Female,6Hz,square,-0.922954393,-1.417041203
FL_05,Florida,Female,6Hz,square,4.769332777,1.561752139
FL_06,Florida,Female,6Hz,square,2.699658421,1.807809464
FL_07,Florida,Female,6Hz,square,0.972297476,0.844498112
FL_08,Florida,Female,6Hz,square,-0.238511529,-0.811672663
FL_09,Florida,Female,6Hz,square,-0.795482645,-1.154001428
FL_10,Florida,Female,6Hz,square,0.02029579,-0.472346837
FL_11,Florida,Male,6Hz,square,0.459241447,1.200465939
FL_12,Florida,Female,6Hz,square,0.600572977,0.894781303
FL_13,Florida,Male,6Hz,square,0.709319983,0.585618241
FL_14,Florida,Male,6Hz,square,-0.213395207,0.46844082
FL_15,Florida,Male,6Hz,square,-0.380583284,-0.158202143
LE_01,Leipzig,Female,6Hz,square,-0.440474373,-1.417459903
LE_02,Leipzig,Female,6Hz,square,0.232307344,-0.304443228
LE_03,Leipzig,Female,6Hz,square,2.819247541,0.831618055
LE_04,Leipzig,Male,6Hz,square,0.681886104,-0.00422814
LE_05,Leipzig,Female,6Hz,square,-0.564180956,-1.038783613
LE_06,Leipzig,Female,6Hz,square,3.016826301,1.265455817
LE_07,Leipzig,Male,6Hz,square,0.980513175,1.394035468
LE_08,Leipzig,Female,6Hz,square,0.970201419,-0.732367327
LE_09,Leipzig,Female,6Hz,square,-0.15350407,-0.489514328
LE_10,Leipzig,Female,6Hz,square,2.794761432,0.800484774
LE_11,Leipzig,Female,6Hz,square,2.564143668,-0.346494378
LE_12,Leipzig,Female,6Hz,square,0.276451315,0.136982009
LE_13,Leipzig,Male,6Hz,square,0.60401338,-0.278463315
LE_14,Leipzig,Female,6Hz,square,-0.219789003,-1.164559249
LE_15,Leipzig,Female,6Hz,square,0.437611299,2.226762433
FL_01,Florida,Female,6Hz,sine,0.195619005,-0.306148723
FL_02,Florida,Female,6Hz,sine,-0.494160069,-0.325039904
FL_03,Florida,Male,6Hz,sine,0.436712245,-0.069047019
FL_04,Florida,Female,6Hz,sine,-0.644425594,-0.909587985
FL_05,Florida,Female,6Hz,sine,3.846954719,1.520184694
FL_06,Florida,Female,6Hz,sine,1.47748221,0.800475567
FL_07,Florida,Female,6Hz,sine,1.021181593,0.487204304
FL_08,Florida,Female,6Hz,sine,-0.241465097,-0.749816061
FL_09,Florida,Female,6Hz,sine,-0.863509987,-1.517190489
FL_10,Florida,Female,6Hz,sine,0.064093614,-0.54140276
FL_11,Florida,Male,6Hz,sine,0.011376455,-0.190316615
FL_12,Florida,Female,6Hz,sine,0.44556562,0.075258185
FL_13,Florida,Male,6Hz,sine,-0.168827843,-0.558565593
FL_14,Florida,Male,6Hz,sine,-0.488069709,-0.066705468
FL_15,Florida,Male,6Hz,sine,-0.527624069,-0.640200746
LE_01,Leipzig,Female,6Hz,sine,-0.782003866,-1.195928241
LE_02,Leipzig,Female,6Hz,sine,-0.761932154,-1.42467558
LE_03,Leipzig,Female,6Hz,sine,1.843217432,1.166143285
LE_04,Leipzig,Male,6Hz,sine,0.167022548,1.034528233
LE_05,Leipzig,Female,6Hz,sine,-0.967256801,-1.124820019
LE_06,Leipzig,Female,6Hz,sine,1.564834511,0.706899166
LE_07,Leipzig,Male,6Hz,sine,0.025623889,0.879392527
LE_08,Leipzig,Female,6Hz,sine,0.377258213,-0.580211699
LE_09,Leipzig,Female,6Hz,sine,-0.229135109,-0.138451058
LE_10,Leipzig,Female,6Hz,sine,1.01148293,0.800171548
LE_11,Leipzig,Female,6Hz,sine,0.744791264,0.050391445
LE_12,Leipzig,Female,6Hz,sine,0.341943036,1.343711535
LE_13,Leipzig,Male,6Hz,sine,-0.279693752,-0.620799996
LE_14,Leipzig,Female,6Hz,sine,-0.536763411,-1.032049839
LE_15,Leipzig,Female,6Hz,sine,-0.20833916,1.121204715
FL_01,Florida,Female,8.57Hz,square,-0.283571398,-0.672931598
FL_02,Florida,Female,8.57Hz,square,-0.45663583,-0.498079823
FL_03,Florida,Male,8.57Hz,square,0.54728416,-0.063159599
FL_04,Florida,Female,8.57Hz,square,-0.706303944,-0.659831857
FL_05,Florida,Female,8.57Hz,square,2.876821204,1.05707945
FL_06,Florida,Female,8.57Hz,square,1.354868826,0.793814102
FL_07,Florida,Female,8.57Hz,square,0.369131969,-0.050983094
FL_08,Florida,Female,8.57Hz,square,0.042905611,-0.42100911
FL_09,Florida,Female,8.57Hz,square,-1.005346483,-1.64395671
FL_10,Florida,Female,8.57Hz,square,-0.584298863,-1.195542521
FL_11,Florida,Male,8.57Hz,square,-0.318536367,-0.567209825
FL_12,Florida,Female,8.57Hz,square,0.077454295,-0.612087587
FL_13,Florida,Male,8.57Hz,square,0.653048281,0.800667649
FL_14,Florida,Male,8.57Hz,square,-0.555114972,-0.142982913
FL_15,Florida,Male,8.57Hz,square,-0.310144716,0.887199559
LE_01,Leipzig,Female,8.57Hz,square,-0.719660852,-1.237668208
LE_02,Leipzig,Female,8.57Hz,square,-0.412263616,-1.064707658
LE_03,Leipzig,Female,8.57Hz,square,2.15732938,0.997123256
LE_04,Leipzig,Male,8.57Hz,square,-0.296385691,0.889715102
LE_05,Leipzig,Female,8.57Hz,square,-1.121236492,-0.806827295
LE_06,Leipzig,Female,8.57Hz,square,1.288865714,0.243014729
LE_07,Leipzig,Male,8.57Hz,square,0.304075785,-0.639320729
LE_08,Leipzig,Female,8.57Hz,square,0.537762935,0.70363762
LE_09,Leipzig,Female,8.57Hz,square,-0.066561139,-0.17833676
LE_10,Leipzig,Female,8.57Hz,square,1.919883095,2.096626321
LE_11,Leipzig,Female,8.57Hz,square,1.763171996,0.211407078
LE_12,Leipzig,Female,8.57Hz,square,0.950715994,0.323369375
LE_13,Leipzig,Male,8.57Hz,square,-0.281073251,-0.483392867
LE_14,Leipzig,Female,8.57Hz,square,-0.183232276,-0.499659243
LE_15,Leipzig,Female,8.57Hz,square,0.208786884,0.205430994
FL_01,Florida,Female,8.57Hz,sine,-0.331010245,-0.734156283
FL_02,Florida,Female,8.57Hz,sine,-0.441267015,-0.18391497
FL_03,Florida,Male,8.57Hz,sine,0.185636971,-0.394929703
FL_04,Florida,Female,8.57Hz,sine,-0.795577921,-0.958573044
FL_05,Florida,Female,8.57Hz,sine,2.053662512,0.535232337
FL_06,Florida,Female,8.57Hz,sine,0.749856422,0.076464298
FL_07,Florida,Female,8.57Hz,sine,-0.1125708,-0.272644858
FL_08,Florida,Female,8.57Hz,sine,-0.246368166,-0.858290634
FL_09,Florida,Female,8.57Hz,sine,-0.942530759,-1.523289882
FL_10,Florida,Female,8.57Hz,sine,-0.722537575,-1.155298644
FL_11,Florida,Male,8.57Hz,sine,-0.484229338,-0.600337572
FL_12,Florida,Female,8.57Hz,sine,-0.120903819,-0.933924542
FL_13,Florida,Male,8.57Hz,sine,0.017188314,-0.096710291
FL_14,Florida,Male,8.57Hz,sine,-0.669072863,-0.264472267
FL_15,Florida,Male,8.57Hz,sine,-0.546701334,-0.150297822
LE_01,Leipzig,Female,8.57Hz,sine,-0.745792014,-1.10334394
LE_02,Leipzig,Female,8.57Hz,sine,-0.871767873,-0.99176867
LE_03,Leipzig,Female,8.57Hz,sine,1.153398901,-0.285262726
LE_04,Leipzig,Male,8.57Hz,sine,-0.505655706,-0.023551432
LE_05,Leipzig,Female,8.57Hz,sine,-1.080089482,-1.49835957
LE_06,Leipzig,Female,8.57Hz,sine,0.089632648,-0.281831774
LE_07,Leipzig,Male,8.57Hz,sine,-0.657779971,-1.10536842
LE_08,Leipzig,Female,8.57Hz,sine,0.305524259,0.531492248
LE_09,Leipzig,Female,8.57Hz,sine,-0.274417167,0.10647562
LE_10,Leipzig,Female,8.57Hz,sine,0.515932361,0.418365179
LE_11,Leipzig,Female,8.57Hz,sine,0.14881316,0.689557065
LE_12,Leipzig,Female,8.57Hz,sine,0.446440094,-0.619523546
LE_13,Leipzig,Male,8.57Hz,sine,-0.628844977,-0.3379683
LE_14,Leipzig,Female,8.57Hz,sine,-0.958296955,-0.657142764
LE_15,Leipzig,Female,8.57Hz,sine,-0.460270185,-0.897618798
FL_01,Florida,Female,15Hz,square,-0.479480176,0.065308072
FL_02,Florida,Female,15Hz,square,-0.861663091,-0.263116743
FL_03,Florida,Male,15Hz,square,-0.171275713,0.774576198
FL_04,Florida,Female,15Hz,square,-0.94364476,-1.2501561
FL_05,Florida,Female,15Hz,square,0.454118508,1.171983487
FL_06,Florida,Female,15Hz,square,0.762616129,3.563128097
FL_07,Florida,Female,15Hz,square,-0.275566715,2.218811975
FL_08,Florida,Female,15Hz,square,-0.67489938,-0.155054166
FL_09,Florida,Female,15Hz,square,-1.040017561,-1.533732897
FL_10,Florida,Female,15Hz,square,-0.670274811,-0.040990494
FL_11,Florida,Male,15Hz,square,0.367776113,1.425672214
FL_12,Florida,Female,15Hz,square,0.028328323,0.324650926
FL_13,Florida,Male,15Hz,square,-0.16143293,2.090971425
FL_14,Florida,Male,15Hz,square,-0.982656044,-1.003953005
FL_15,Florida,Male,15Hz,square,-0.387846276,1.78396624
LE_01,Leipzig,Female,15Hz,square,-0.424920521,3.847325509
LE_02,Leipzig,Female,15Hz,square,-0.668160701,-0.526259051
LE_03,Leipzig,Female,15Hz,square,-0.548282229,1.261636692
LE_04,Leipzig,Male,15Hz,square,-1.26205921,-0.441566527
LE_05,Leipzig,Female,15Hz,square,-1.230672157,-1.111109615
LE_06,Leipzig,Female,15Hz,square,0.73951468,1.769220737
LE_07,Leipzig,Male,15Hz,square,-0.695095422,0.552601301
LE_08,Leipzig,Female,15Hz,square,-0.710866545,-0.58496931
LE_09,Leipzig,Female,15Hz,square,-0.905882886,-0.292353471
LE_10,Leipzig,Female,15Hz,square,-0.881086389,0.427596916
LE_11,Leipzig,Female,15Hz,square,-0.484859757,-1.000099766
LE_12,Leipzig,Female,15Hz,square,-0.607807615,-0.277803026
LE_13,Leipzig,Male,15Hz,square,-1.307582681,-0.849345766
LE_14,Leipzig,Female,15Hz,square,0.252103156,0.62245999
LE_15,Leipzig,Female,15Hz,square,-0.7871425,-0.190743128
FL_01,Florida,Female,15Hz,sine,-0.65711934,0.151823206
FL_02,Florida,Female,15Hz,sine,-0.934835358,-0.817351699
FL_03,Florida,Male,15Hz,sine,-0.197300826,0.872973146
FL_04,Florida,Female,15Hz,sine,-0.991068949,-1.322392566
FL_05,Florida,Female,15Hz,sine,0.017452157,-0.188743296
FL_06,Florida,Female,15Hz,sine,0.566947741,2.685739393
FL_07,Florida,Female,15Hz,sine,-0.526825213,0.219968023
FL_08,Florida,Female,15Hz,sine,-0.609744988,-0.220132329
FL_09,Florida,Female,15Hz,sine,-0.962175285,-1.235255213
FL_10,Florida,Female,15Hz,sine,-0.662813937,0.119408911
FL_11,Florida,Male,15Hz,sine,0.265845033,1.126441606
FL_12,Florida,Female,15Hz,sine,0.024033556,0.375618626
FL_13,Florida,Male,15Hz,sine,-0.280096008,0.290859474
FL_14,Florida,Male,15Hz,sine,-0.982802403,-0.9126606
FL_15,Florida,Male,15Hz,sine,-0.382349561,1.003099456
LE_01,Leipzig,Female,15Hz,sine,-0.809145511,1.608758715
LE_02,Leipzig,Female,15Hz,sine,-0.451441391,-0.65070512
LE_03,Leipzig,Female,15Hz,sine,-0.76800195,0.499462742
LE_04,Leipzig,Male,15Hz,sine,-1.319236,-0.840541526
LE_05,Leipzig,Female,15Hz,sine,-1.228678781,-1.490486537
LE_06,Leipzig,Female,15Hz,sine,0.91453863,0.926517484
LE_07,Leipzig,Male,15Hz,sine,-0.570630114,0.095075794
LE_08,Leipzig,Female,15Hz,sine,-0.752382571,-0.497469313
LE_09,Leipzig,Female,15Hz,sine,-0.994198419,-1.070627983
LE_10,Leipzig,Female,15Hz,sine,-0.4963096,1.529920161
LE_11,Leipzig,Female,15Hz,sine,-0.224582762,-0.704763718
LE_12,Leipzig,Female,15Hz,sine,-0.6955679,-0.90324519
LE_13,Leipzig,Male,15Hz,sine,-1.225916334,0.066597519
LE_14,Leipzig,Female,15Hz,sine,0.000103156,1.869674067
LE_15,Leipzig,Female,15Hz,sine,-0.693819385,-0.213851567